images\000000000.tif  labels\000000000.tif 
images\000000001.tif  labels\000000001.tif 
images\000000002.tif  labels\000000002.tif 
images\000000003.tif  labels\000000003.tif 
images\000000004.tif  labels\000000004.tif 
images\000000005.tif  labels\000000005.tif 
images\000000006.tif  labels\000000006.tif 
images\000000007.tif  labels\000000007.tif 
images\000000008.tif  labels\000000008.tif 
images\000000009.tif  labels\000000009.tif 
images\000000010.tif  labels\000000010.tif 
images\000000011.tif  labels\000000011.tif 
images\000000012.tif  labels\000000012.tif 
images\000000013.tif  labels\000000013.tif 
images\000000014.tif  labels\000000014.tif 
images\000000015.tif  labels\000000015.tif 
images\000000016.tif  labels\000000016.tif 
images\000000017.tif  labels\000000017.tif 
images\000000018.tif  labels\000000018.tif 
images\000000019.tif  labels\000000019.tif 
images\000000020.tif  labels\000000020.tif 
images\000000021.tif  labels\000000021.tif 
images\000000022.tif  labels\000000022.tif 
images\000000023.tif  labels\000000023.tif 
images\000000024.tif  labels\000000024.tif 
images\000000025.tif  labels\000000025.tif 
images\000000026.tif  labels\000000026.tif 
images\000000027.tif  labels\000000027.tif 
images\000000028.tif  labels\000000028.tif 
images\000000029.tif  labels\000000029.tif 
images\000000030.tif  labels\000000030.tif 
images\000000031.tif  labels\000000031.tif 
images\000000032.tif  labels\000000032.tif 
images\000000033.tif  labels\000000033.tif 
images\000000034.tif  labels\000000034.tif 
images\000000035.tif  labels\000000035.tif 
images\000000036.tif  labels\000000036.tif 
images\000000037.tif  labels\000000037.tif 
images\000000038.tif  labels\000000038.tif 
images\000000039.tif  labels\000000039.tif 
images\000000040.tif  labels\000000040.tif 
images\000000041.tif  labels\000000041.tif 
images\000000042.tif  labels\000000042.tif 
images\000000043.tif  labels\000000043.tif 
images\000000044.tif  labels\000000044.tif 
images\000000045.tif  labels\000000045.tif 
images\000000046.tif  labels\000000046.tif 
images\000000047.tif  labels\000000047.tif 
images\000000048.tif  labels\000000048.tif 
images\000000049.tif  labels\000000049.tif 
images\000000050.tif  labels\000000050.tif 
images\000000051.tif  labels\000000051.tif 
images\000000052.tif  labels\000000052.tif 
images\000000053.tif  labels\000000053.tif 
images\000000054.tif  labels\000000054.tif 
images\000000055.tif  labels\000000055.tif 
images\000000056.tif  labels\000000056.tif 
images\000000057.tif  labels\000000057.tif 
images\000000058.tif  labels\000000058.tif 
images\000000059.tif  labels\000000059.tif 
images\000000060.tif  labels\000000060.tif 
images\000000061.tif  labels\000000061.tif 
images\000000062.tif  labels\000000062.tif 
images\000000063.tif  labels\000000063.tif 
images\000000064.tif  labels\000000064.tif 
images\000000065.tif  labels\000000065.tif 
images\000000066.tif  labels\000000066.tif 
images\000000067.tif  labels\000000067.tif 
images\000000068.tif  labels\000000068.tif 
images\000000069.tif  labels\000000069.tif 
images\000000070.tif  labels\000000070.tif 
images\000000071.tif  labels\000000071.tif 
images\000000072.tif  labels\000000072.tif 
images\000000073.tif  labels\000000073.tif 
images\000000074.tif  labels\000000074.tif 
images\000000075.tif  labels\000000075.tif 
images\000000076.tif  labels\000000076.tif 
images\000000077.tif  labels\000000077.tif 
images\000000078.tif  labels\000000078.tif 
images\000000079.tif  labels\000000079.tif 
images\000000080.tif  labels\000000080.tif 
images\000000081.tif  labels\000000081.tif 
images\000000082.tif  labels\000000082.tif 
images\000000083.tif  labels\000000083.tif 
